Geocoded_City1,Coordinates,Longitude,Latitude,City
"Albany, NY
(42.651242, -73.755418)","42.651242, -73.755418",42.651242,-73.755418,"Albany, NY"
"Albuquerque, NM
(35.084248, -106.649241)","35.084248, -106.649241",35.084248,-106.649241,"Albuquerque, NM"
"Allentown/Bethlehem/Easton, PA
(40.602753, -75.469759)","40.602753, -75.469759",40.602753,-75.469759,"Allentown/Bethlehem/Easton, PA"
"Amarillo, TX
(35.207009, -101.832013)","35.207009, -101.832013",35.207009,-101.832013,"Amarillo, TX"
"Asheville, NC
(35.595889, -82.550039)","35.595889, -82.550039",35.595889,-82.550039,"Asheville, NC"
"Aspen, CO
(39.190665, -106.819201)","39.190665, -106.819201",39.190665,-106.819201,"Aspen, CO"
"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","33.748547, -84.391502",33.748547,-84.391502,"Atlanta, GA (Metropolitan Area)"
"Atlantic City, NJ
(33.748547, -84.391502)","33.748547, -84.391502",33.748547,-84.391502,"Atlantic City, NJ"
"Augusta, GA
(33.472494, -81.964397)","33.472494, -81.964397",33.472494,-81.964397,"Augusta, GA"
"Austin, TX
(30.264979, -97.746598)","30.264979, -97.746598",30.264979,-97.746598,"Austin, TX"
"Bangor, ME
(44.801602, -68.771334)","44.801602, -68.771334",44.801602,-68.771334,"Bangor, ME"
"Baton Rouge, LA
(30.443319, -91.187488)","30.443319, -91.187488",30.443319,-91.187488,"Baton Rouge, LA"
"Bellingham, WA
(41.698264, -88.077915)","41.698264, -88.077915",41.698264,-88.077915,"Bellingham, WA"
"Bend/Redmond, OR
(29.721576, -99.071062)","29.721576, -99.071062",29.721576,-99.071062,"Bend/Redmond, OR"
"Billings, MT
(41.698264, -88.077915)","41.698264, -88.077915",41.698264,-88.077915,"Billings, MT"
"Birmingham, AL
(33.522859, -86.807705)","33.522859, -86.807705",33.522859,-86.807705,"Birmingham, AL"
"Bismarck/Mandan, ND
(46.80537, -100.781609)","46.80537, -100.781609",46.80537,-100.781609,"Bismarck/Mandan, ND"
"Bloomington/Normal, IL
(39.166587, -86.534893)","39.166587, -86.534893",39.166587,-86.534893,"Bloomington/Normal, IL"
"Boise, ID
(43.597772, -83.884521)","43.597772, -83.884521",43.597772,-83.884521,"Boise, ID"
"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","42.358894, -71.056742",42.358894,-71.056742,"Boston, MA (Metropolitan Area)"
"Bozeman, MT
(45.679294, -111.046611)","45.679294, -111.046611",45.679294,-111.046611,"Bozeman, MT"
"Buffalo, NY
(39.945422, -78.64671)","39.945422, -78.64671",39.945422,-78.64671,"Buffalo, NY"
"Bullhead City, AZ
(39.039856, -76.910021)","39.039856, -76.910021",39.039856,-76.910021,"Bullhead City, AZ"
"Burlington, VT
(44.475949, -73.212481)","44.475949, -73.212481",44.475949,-73.212481,"Burlington, VT"
"Cedar Rapids/Iowa City, IA
(41.978122, -91.669808)","41.978122, -91.669808",41.978122,-91.669808,"Cedar Rapids/Iowa City, IA"
"Charleston, SC
(32.77647, -79.931027)","32.77647, -79.931027",32.77647,-79.931027,"Charleston, SC"
"Charlotte, NC
(35.222936, -80.840161)","35.222936, -80.840161",35.222936,-80.840161,"Charlotte, NC"
"Chattanooga, TN
(35.045756, -85.308287)","35.045756, -85.308287",35.045756,-85.308287,"Chattanooga, TN"
"Chicago, IL
(41.775002, -87.696388)","41.775002, -87.696388",41.775002,-87.696388,"Chicago, IL"
"Cincinnati, OH
(39.104427, -84.513808)","39.104427, -84.513808",39.104427,-84.513808,"Cincinnati, OH"
"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","41.505546, -81.6915",41.505546,-81.6915,"Cleveland, OH (Metropolitan Area)"
"Colorado Springs, CO
(38.835224, -104.819798)","38.835224, -104.819798",38.835224,-104.819798,"Colorado Springs, CO"
"Columbia, SC
(39.962649, -82.996216)","39.962649, -82.996216",39.962649,-82.996216,"Columbia, SC"
"Columbus, OH
(39.962649, -82.996216)","39.962649, -82.996216",39.962649,-82.996216,"Columbus, OH"
"Concord, NC
(43.208452, -71.536941)","43.208452, -71.536941",43.208452,-71.536941,"Concord, NC"
"Corpus Christi, TX
(27.796416, -97.404131)","27.796416, -97.404131",27.796416,-97.404131,"Corpus Christi, TX"
"Dallas/Fort Worth, TX
(40.11086, -77.035636)","40.11086, -77.035636",40.11086,-77.035636,"Dallas/Fort Worth, TX"
"Dayton, OH
(39.760982, -84.192203)","39.760982, -84.192203",39.760982,-84.192203,"Dayton, OH"
"Daytona Beach, FL
(29.207056, -81.020739)","29.207056, -81.020739",29.207056,-81.020739,"Daytona Beach, FL"
"Denver, CO
(39.738453, -104.984853)","39.738453, -104.984853",39.738453,-104.984853,"Denver, CO"
"Des Moines, IA
(41.588822, -93.620309)","41.588822, -93.620309",41.588822,-93.620309,"Des Moines, IA"
"Detroit, MI
(42.332916, -83.047853)","42.332916, -83.047853",42.332916,-83.047853,"Detroit, MI"
"Eagle, CO
(38.8339, -120.040604)","38.8339, -120.040604",38.8339,-120.040604,"Eagle, CO"
"El Paso, TX
(31.76006, -106.492257)","31.76006, -106.492257",31.76006,-106.492257,"El Paso, TX"
"Eugene, OR
(37.533089, -75.823024)","37.533089, -75.823024",37.533089,-75.823024,"Eugene, OR"
"Eureka/Arcata, CA
(41.088577, -76.517301)","41.088577, -76.517301",41.088577,-76.517301,"Eureka/Arcata, CA"
"Evansville, IN
(37.975708, -87.569907)","37.975708, -87.569907",37.975708,-87.569907,"Evansville, IN"
"Fargo, ND
(36.731654, -119.785856)","36.731654, -119.785856",36.731654,-119.785856,"Fargo, ND"
"Fayetteville, AR
(36.061928, -94.160583)","36.061928, -94.160583",36.061928,-94.160583,"Fayetteville, AR"
"Flint, MI
(43.00992, -83.685109)","43.00992, -83.685109",43.00992,-83.685109,"Flint, MI"
"Fort Collins/Loveland, CO
(40.588972, -105.082459)","40.588972, -105.082459",40.588972,-105.082459,"Fort Collins/Loveland, CO"
"Fort Myers, FL
(40.253979, -103.801495)","40.253979, -103.801495",40.253979,-103.801495,"Fort Myers, FL"
"Fort Wayne, IN
(41.331128, -73.987189)","41.331128, -73.987189",41.331128,-73.987189,"Fort Wayne, IN"
"Fresno, CA
(36.731654, -119.785856)","36.731654, -119.785856",36.731654,-119.785856,"Fresno, CA"
"Grand Forks, ND
(47.925705, -97.036068)","47.925705, -97.036068",47.925705,-97.036068,"Grand Forks, ND"
"Grand Rapids, MI
(47.925705, -97.036068)","47.925705, -97.036068",47.925705,-97.036068,"Grand Rapids, MI"
"Greensboro/High Point, NC
(36.072701, -79.793899)","36.072701, -79.793899",36.072701,-79.793899,"Greensboro/High Point, NC"
"Greenville/Spartanburg, SC
(44.513288, -88.013256)","44.513288, -88.013256",44.513288,-88.013256,"Greenville/Spartanburg, SC"
"Gulfport/Biloxi, MS
(30.369834, -89.091582)","30.369834, -89.091582",30.369834,-89.091582,"Gulfport/Biloxi, MS"
"Harlingen/San Benito, TX
(40.8078, -73.945801)","40.8078, -73.945801",40.8078,-73.945801,"Harlingen/San Benito, TX"
"Harrisburg, PA
(40.259572, -76.881821)","40.259572, -76.881821",40.259572,-76.881821,"Harrisburg, PA"
"Hartford, CT
(41.765775, -72.673356)","41.765775, -72.673356",41.765775,-72.673356,"Hartford, CT"
"Houston, TX
(29.760803, -95.369506)","29.760803, -95.369506",29.760803,-95.369506,"Houston, TX"
"Huntsville, AL
(34.729538, -86.585283)","34.729538, -86.585283",34.729538,-86.585283,"Huntsville, AL"
"Indianapolis, IN
(39.76845, -86.156212)","39.76845, -86.156212",39.76845,-86.156212,"Indianapolis, IN"
"Jackson, WY
(42.247454, -84.408847)","42.247454, -84.408847",42.247454,-84.408847,"Jackson, WY"
"Jackson/Vicksburg, MS
(30.325968, -81.65676)","30.325968, -81.65676",30.325968,-81.65676,"Jackson/Vicksburg, MS"
"Jacksonville, FL
(30.325968, -81.65676)","30.325968, -81.65676",30.325968,-81.65676,"Jacksonville, FL"
"Kalispell, MT
(48.197751, -114.31346)","48.197751, -114.31346",48.197751,-114.31346,"Kalispell, MT"
"Kansas City, MO
(39.099792, -94.578559)","39.099792, -94.578559",39.099792,-94.578559,"Kansas City, MO"
"Key West, FL
(70.129129, -143.63129)","70.129129, -143.63129",70.129129,-143.63129,"Key West, FL"
"Knoxville, TN
(35.962631, -83.916677)","35.962631, -83.916677",35.962631,-83.916677,"Knoxville, TN"
"Lansing, MI
(42.733625, -84.553927)","42.733625, -84.553927",42.733625,-84.553927,"Lansing, MI"
"Las Vegas, NV
(36.169202, -115.140597)","36.169202, -115.140597",36.169202,-115.140597,"Las Vegas, NV"
"Latrobe, PA
(40.318276, -79.381082)","40.318276, -79.381082",40.318276,-79.381082,"Latrobe, PA"
"Lexington, KY
(34.052238, -118.243344)","34.052238, -118.243344",34.052238,-118.243344,"Lexington, KY"
"Lincoln, NE
(40.813599, -96.70261)","40.813599, -96.70261",40.813599,-96.70261,"Lincoln, NE"
"Little Rock, AR
(34.748745, -92.275105)","34.748745, -92.275105",34.748745,-92.275105,"Little Rock, AR"
"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","34.052238, -118.243344",34.052238,-118.243344,"Los Angeles, CA (Metropolitan Area)"
"Louisville, KY
(38.256078, -85.751569)","38.256078, -85.751569",38.256078,-85.751569,"Louisville, KY"
"Lubbock, TX
(41.181125, -96.030508)","41.181125, -96.030508",41.181125,-96.030508,"Lubbock, TX"
"Madison, WI
(43.073926, -89.385244)","43.073926, -89.385244",43.073926,-89.385244,"Madison, WI"
"Martha's Vineyard, MA
(34.722767, -76.729721)","34.722767, -76.729721",34.722767,-76.729721,"Martha's Vineyard, MA"
"Medford, OR
(42.064492, -87.93678)","42.064492, -87.93678",42.064492,-87.93678,"Medford, OR"
"Melbourne, FL
(28.079931, -80.603516)","28.079931, -80.603516",28.079931,-80.603516,"Melbourne, FL"
"Memphis, TN
(35.143378, -90.052136)","35.143378, -90.052136",35.143378,-90.052136,"Memphis, TN"
"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","44.977479, -93.264346",44.977479,-93.264346,"Miami, FL (Metropolitan Area)"
"Midland/Odessa, TX
(31.997433, -102.078043)","31.997433, -102.078043",31.997433,-102.078043,"Midland/Odessa, TX"
"Milwaukee, WI
(43.041072, -87.909421)","43.041072, -87.909421",43.041072,-87.909421,"Milwaukee, WI"
"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","44.977479, -93.264346",44.977479,-93.264346,"Minneapolis/St. Paul, MN"
"Minot, ND
(40.753259, -74.003804)","40.753259, -74.003804",40.753259,-74.003804,"Minot, ND"
"Mission/McAllen/Edinburg, TX
(43.153621, -93.201042)","43.153621, -93.201042",43.153621,-93.201042,"Mission/McAllen/Edinburg, TX"
"Missoula, MT
(38.937593, -77.183779)","38.937593, -77.183779",38.937593,-77.183779,"Missoula, MT"
"Mobile, AL
(34.661541, -77.695461)","34.661541, -77.695461",34.661541,-77.695461,"Mobile, AL"
"Montgomery, AL
(32.376547, -86.299651)","32.376547, -86.299651",32.376547,-86.299651,"Montgomery, AL"
"Myrtle Beach, SC
(33.68785, -78.883852)","33.68785, -78.883852",33.68785,-78.883852,"Myrtle Beach, SC"
"Nantucket, MA
(41.283208, -70.09923)","41.283208, -70.09923",41.283208,-70.09923,"Nantucket, MA"
"Nashville, TN
(36.166687, -86.779932)","36.166687, -86.779932",36.166687,-86.779932,"Nashville, TN"
"New Haven, CT
(42.856701, -78.741699)","42.856701, -78.741699",42.856701,-78.741699,"New Haven, CT"
"New Orleans, LA
(29.950621, -90.074948)","29.950621, -90.074948",29.950621,-90.074948,"New Orleans, LA"
"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","40.123164, -75.333718",40.123164,-75.333718,"New York City, NY (Metropolitan Area)"
"Niagara Falls, NY
(43.094464, -79.056432)","43.094464, -79.056432",43.094464,-79.056432,"Niagara Falls, NY"
"Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","36.846164, -76.285913",36.846164,-76.285913,"Norfolk, VA (Metropolitan Area)"
"Oklahoma City, OK
(35.468494, -97.521264)","35.468494, -97.521264",35.468494,-97.521264,"Oklahoma City, OK"
"Omaha, NE
(46.07035, -93.666319)","46.07035, -93.666319",46.07035,-93.666319,"Omaha, NE"
"Orlando, FL
(28.538331, -81.378879)","28.538331, -81.378879",28.538331,-81.378879,"Orlando, FL"
"Palm Springs, CA
(33.830302, -116.546843)","33.830302, -116.546843",33.830302,-116.546843,"Palm Springs, CA"
"Panama City, FL
(30.185159, -85.73078)","30.185159, -85.73078",30.185159,-85.73078,"Panama City, FL"
"Pasco/Kennewick/Richland, WA
(37.123874, -76.391902)","37.123874, -76.391902",37.123874,-76.391902,"Pasco/Kennewick/Richland, WA"
"Pensacola, FL
(30.406931, -87.217578)","30.406931, -87.217578",30.406931,-87.217578,"Pensacola, FL"
"Peoria, IL
(32.283586, -90.10038)","32.283586, -90.10038",32.283586,-90.10038,"Peoria, IL"
"Philadelphia, PA
(39.951061, -75.16562)","39.951061, -75.16562",39.951061,-75.16562,"Philadelphia, PA"
"Phoenix, AZ
(30.406931, -87.217578)","30.406931, -87.217578",30.406931,-87.217578,"Phoenix, AZ"
"Pittsburgh, PA
(40.442169, -79.994945)","40.442169, -79.994945",40.442169,-79.994945,"Pittsburgh, PA"
"Plattsburgh, NY
(44.699668, -73.451807)","44.699668, -73.451807",44.699668,-73.451807,"Plattsburgh, NY"
"Portland, ME
(45.516018, -122.681425)","45.516018, -122.681425",45.516018,-122.681425,"Portland, ME"
"Portland, OR
(45.516018, -122.681425)","45.516018, -122.681425",45.516018,-122.681425,"Portland, OR"
"Provo, UT
(41.824461, -71.412747)","41.824461, -71.412747",41.824461,-71.412747,"Provo, UT"
"Raleigh/Durham, NC
(42.673348, -72.179683)","42.673348, -72.179683",42.673348,-72.179683,"Raleigh/Durham, NC"
"Reno, NV
(30.177159, -95.162771)","30.177159, -95.162771",30.177159,-95.162771,"Reno, NV"
"Richmond, VA
(37.540759, -77.433932)","37.540759, -77.433932",37.540759,-77.433932,"Richmond, VA"
"Roanoke, VA
(37.747827, -80.470248)","37.747827, -80.470248",37.747827,-80.470248,"Roanoke, VA"
"Rochester, NY
(43.155708, -77.612547)","43.155708, -77.612547",43.155708,-77.612547,"Rochester, NY"
"Sacramento, CA
(38.582087, -121.50012)","38.582087, -121.50012",38.582087,-121.50012,"Sacramento, CA"
"Saginaw/Bay City/Midland, MI
(40.415483, -120.648932)","40.415483, -120.648932",40.415483,-120.648932,"Saginaw/Bay City/Midland, MI"
"Salinas/Monterey, CA
(36.676795, -121.656421)","36.676795, -121.656421",36.676795,-121.656421,"Salinas/Monterey, CA"
"Salt Lake City, UT 
(40.758478, -111.888142)","40.758478, -111.888142",40.758478,-111.888142,"Salt Lake City, UT "
"Salt Lake City, UT
(40.758478, -111.888142)","40.758478, -111.888142",40.758478,-111.888142,"Salt Lake City, UT"
"San Antonio, TX
(29.425173, -98.494599)","29.425173, -98.494599",29.425173,-98.494599,"San Antonio, TX"
"San Diego, CA
(32.71576, -117.163817)","32.71576, -117.163817",32.71576,-117.163817,"San Diego, CA"
"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)","37.78008, -122.420168",37.78008,-122.420168,"San Francisco, CA (Metropolitan Area)"
"Sanford, FL
(37.78008, -122.420168)","37.78008, -122.420168",37.78008,-122.420168,"Sanford, FL"
"Santa Barbara, CA
(34.420867, -119.698342)","34.420867, -119.698342",34.420867,-119.698342,"Santa Barbara, CA"
"Santa Rosa, CA
(38.439698, -122.715642)","38.439698, -122.715642",38.439698,-122.715642,"Santa Rosa, CA"
"Sarasota/Bradenton, FL
(27.336483, -82.538602)","27.336483, -82.538602",27.336483,-82.538602,"Sarasota/Bradenton, FL"
"Savannah, GA
(40.115007, -111.654713)","40.115007, -111.654713",40.115007,-111.654713,"Savannah, GA"
"Seattle, WA
(47.603229, -122.33028)","47.603229, -122.33028",47.603229,-122.33028,"Seattle, WA"
"Shreveport, LA
(32.51424, -93.747757)","32.51424, -93.747757",32.51424,-93.747757,"Shreveport, LA"
"Sioux Falls, SD
(43.488765, -96.743185)","43.488765, -96.743185",43.488765,-96.743185,"Sioux Falls, SD"
"South Bend, IN
(41.675032, -86.251962)","41.675032, -86.251962",41.675032,-86.251962,"South Bend, IN"
"Spokane, WA
(47.658999, -117.425022)","47.658999, -117.425022",47.658999,-117.425022,"Spokane, WA"
"Springfield, IL
(39.79936, -89.643624)","39.79936, -89.643624",39.79936,-89.643624,"Springfield, IL"
"Springfield, MO
(39.79936, -89.643624)","39.79936, -89.643624",39.79936,-89.643624,"Springfield, MO"
"St. Louis, MO
(38.630276, -90.200309)","38.630276, -90.200309",38.630276,-90.200309,"St. Louis, MO"
"Steamboat Springs, CO
(41.051924, -73.539475)","41.051924, -73.539475",41.051924,-73.539475,"Steamboat Springs, CO"
"Syracuse, NY
(43.047945, -76.147448)","43.047945, -76.147448",43.047945,-76.147448,"Syracuse, NY"
"Tallahassee, FL
(38.921902, -120.020798)","38.921902, -120.020798",38.921902,-120.020798,"Tallahassee, FL"
"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)","37.8606, -78.804199",37.8606,-78.804199,"Tampa, FL (Metropolitan Area)"
"Toledo, OH
(41.655298, -83.535717)","41.655298, -83.535717",41.655298,-83.535717,"Toledo, OH"
"Trenton, NJ
(40.220572, -74.759709)","40.220572, -74.759709",40.220572,-74.759709,"Trenton, NJ"
"Tucson, AZ
(35.167852, -103.726151)","35.167852, -103.726151",35.167852,-103.726151,"Tucson, AZ"
"Tulsa, OK
(61.096484, -160.967455)","61.096484, -160.967455",61.096484,-160.967455,"Tulsa, OK"
"Valparaiso, FL
(41.478143, -87.055372)","41.478143, -87.055372",41.478143,-87.055372,"Valparaiso, FL"
"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","38.892062, -77.019912",38.892062,-77.019912,"Washington, DC (Metropolitan Area)"
"West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)","33.90976, -98.500854",33.90976,-98.500854,"West Palm Beach/Palm Beach, FL"
"Wichita, KS
(39.960481, -75.605214)","39.960481, -75.605214",39.960481,-75.605214,"Wichita, KS"
"Wilmington, NC
(39.744432, -75.5451)","39.744432, -75.5451",39.744432,-75.5451,"Wilmington, NC"
"Worcester, MA
(42.262073, -71.802278)","42.262073, -71.802278",42.262073,-71.802278,"Worcester, MA"
